Validation error, mini-batch count, D/T.
0.648665, 50, 2018-03-09 15:23:43.
0.542379, 100, 2018-03-09 15:25:35.
0.460084, 150, 2018-03-09 15:27:25.
0.422818, 200, 2018-03-09 15:29:15.
0.399661, 250, 2018-03-09 15:31:04.
0.384704, 300, 2018-03-09 15:32:52.
0.372956, 350, 2018-03-09 15:34:40.
0.37398, 400, 2018-03-09 15:36:25.
0.360343, 450, 2018-03-09 15:38:14.
0.370303, 500, 2018-03-09 15:39:58.
0.350551, 550, 2018-03-09 15:41:49.
0.349875, 600, 2018-03-09 15:43:40.
0.344929, 650, 2018-03-09 15:45:31.
0.343551, 700, 2018-03-09 15:47:20.
0.337669, 750, 2018-03-09 15:49:11.
0.336737, 800, 2018-03-09 15:51:03.
0.332915, 850, 2018-03-09 15:52:52.
0.330243, 900, 2018-03-09 15:54:42.
0.33292, 950, 2018-03-09 15:56:30.
0.334572, 1000, 2018-03-09 15:58:17.
0.326741, 1050, 2018-03-09 16:00:07.
0.327958, 1100, 2018-03-09 16:01:56.
0.32309, 1150, 2018-03-09 16:03:49.
0.323761, 1200, 2018-03-09 16:05:36.
0.320356, 1250, 2018-03-09 16:07:27.
0.319702, 1300, 2018-03-09 16:09:18.
0.316156, 1350, 2018-03-09 16:11:11.
0.318025, 1400, 2018-03-09 16:12:58.
0.313879, 1450, 2018-03-09 16:14:50.
0.315431, 1500, 2018-03-09 16:16:39.
0.313141, 1550, 2018-03-09 16:18:30.
0.313704, 1600, 2018-03-09 16:20:21.
0.311784, 1650, 2018-03-09 16:22:12.
0.310273, 1700, 2018-03-09 16:24:03.
0.311712, 1750, 2018-03-09 16:25:49.
0.307849, 1800, 2018-03-09 16:27:41.
0.306975, 1850, 2018-03-09 16:29:32.
0.307357, 1900, 2018-03-09 16:31:20.
0.305141, 1950, 2018-03-09 16:33:14.
0.306173, 2000, 2018-03-09 16:35:03.
0.302716, 2050, 2018-03-09 16:36:51.
0.303654, 2100, 2018-03-09 16:38:39.
0.303059, 2150, 2018-03-09 16:40:27.
0.301032, 2200, 2018-03-09 16:42:19.
0.301316, 2250, 2018-03-09 16:44:05.
0.301012, 2300, 2018-03-09 16:45:56.
0.300674, 2350, 2018-03-09 16:47:47.
0.30027, 2400, 2018-03-09 16:49:35.
0.297749, 2450, 2018-03-09 16:51:25.
0.298212, 2500, 2018-03-09 16:53:15.
0.296418, 2550, 2018-03-09 16:55:05.
0.296777, 2600, 2018-03-09 16:56:54.
0.295918, 2650, 2018-03-09 16:58:45.
0.29427, 2700, 2018-03-09 17:00:35.
0.294619, 2750, 2018-03-09 17:02:23.
0.293809, 2800, 2018-03-09 17:04:15.
0.294047, 2850, 2018-03-09 17:06:00.
0.293677, 2900, 2018-03-09 17:07:51.
0.293608, 2950, 2018-03-09 17:09:41.
0.292102, 3000, 2018-03-09 17:11:33.
0.291565, 3050, 2018-03-09 17:13:22.
0.2921, 3100, 2018-03-09 17:15:09.
0.290578, 3150, 2018-03-09 17:17:03.
0.290557, 3200, 2018-03-09 17:18:53.
0.289147, 3250, 2018-03-09 17:20:42.
0.290685, 3300, 2018-03-09 17:22:29.
0.290859, 3350, 2018-03-09 17:24:16.
0.287965, 3400, 2018-03-09 17:26:08.
0.289239, 3450, 2018-03-09 17:27:56.
0.288374, 3500, 2018-03-09 17:29:43.
0.288652, 3550, 2018-03-09 17:31:31.
0.287207, 3600, 2018-03-09 17:33:23.
0.285962, 3650, 2018-03-09 17:35:16.
0.285063, 3700, 2018-03-09 17:37:08.
0.29041, 3750, 2018-03-09 17:38:53.
0.286114, 3800, 2018-03-09 17:40:43.
0.28759, 3850, 2018-03-09 17:42:31.
0.284666, 3900, 2018-03-09 17:44:21.
0.285378, 3950, 2018-03-09 17:46:10.
0.283649, 4000, 2018-03-09 17:47:59.
0.284531, 4050, 2018-03-09 17:49:47.
0.282932, 4100, 2018-03-09 17:51:36.
0.282576, 4150, 2018-03-09 17:53:27.
0.282159, 4200, 2018-03-09 17:55:18.
0.282183, 4250, 2018-03-09 17:57:05.
0.282169, 4300, 2018-03-09 17:58:53.
0.280991, 4350, 2018-03-09 18:00:40.
0.279927, 4400, 2018-03-09 18:02:32.
0.282504, 4450, 2018-03-09 18:04:20.
0.280569, 4500, 2018-03-09 18:06:07.
0.281752, 4550, 2018-03-09 18:07:52.
0.279802, 4600, 2018-03-09 18:09:41.
0.278088, 4650, 2018-03-09 18:11:30.
0.27895, 4700, 2018-03-09 18:13:21.
0.278163, 4750, 2018-03-09 18:15:10.
0.27766, 4800, 2018-03-09 18:17:04.
0.277077, 4850, 2018-03-09 18:18:54.
0.276672, 4900, 2018-03-09 18:20:47.
0.276512, 4950, 2018-03-09 18:22:40.
0.276882, 5000, 2018-03-09 18:24:30.
0.277975, 5050, 2018-03-09 18:26:15.
0.276759, 5100, 2018-03-09 18:28:02.
0.277749, 5150, 2018-03-09 18:29:48.
0.275808, 5200, 2018-03-09 18:31:43.
0.275548, 5250, 2018-03-09 18:33:35.
0.276014, 5300, 2018-03-09 18:35:21.
0.274407, 5350, 2018-03-09 18:37:13.
0.274369, 5400, 2018-03-09 18:39:04.
0.275491, 5450, 2018-03-09 18:40:52.
0.2739, 5500, 2018-03-09 18:42:43.
0.274697, 5550, 2018-03-09 18:44:33.
0.273979, 5600, 2018-03-09 18:46:18.
0.273095, 5650, 2018-03-09 18:48:09.
0.272279, 5700, 2018-03-09 18:49:59.
0.275743, 5750, 2018-03-09 18:51:45.
0.273753, 5800, 2018-03-09 18:53:32.
0.273214, 5850, 2018-03-09 18:55:16.
0.27338, 5900, 2018-03-09 18:57:05.
0.272181, 5950, 2018-03-09 18:58:58.
0.272668, 6000, 2018-03-09 19:00:46.
0.271941, 6050, 2018-03-09 19:02:37.
0.27271, 6100, 2018-03-09 19:04:24.
0.271769, 6150, 2018-03-09 19:06:12.
0.271933, 6200, 2018-03-09 19:08:01.
0.273433, 6250, 2018-03-09 19:09:49.
0.272339, 6300, 2018-03-09 19:11:35.
0.271582, 6350, 2018-03-09 19:13:26.
0.270296, 6400, 2018-03-09 19:15:14.
0.271767, 6450, 2018-03-09 19:17:02.
0.271136, 6500, 2018-03-09 19:18:50.
0.270824, 6550, 2018-03-09 19:20:40.
0.270921, 6600, 2018-03-09 19:22:27.
0.270839, 6650, 2018-03-09 19:24:16.
0.270173, 6700, 2018-03-09 19:26:05.
0.270171, 6750, 2018-03-09 19:27:54.
0.271919, 6800, 2018-03-09 19:29:39.
0.271522, 6850, 2018-03-09 19:31:26.
0.270782, 6900, 2018-03-09 19:33:13.
0.270003, 6950, 2018-03-09 19:35:02.
0.269294, 7000, 2018-03-09 19:36:49.
0.269613, 7050, 2018-03-09 19:38:37.
0.269532, 7100, 2018-03-09 19:40:26.
0.271311, 7150, 2018-03-09 19:42:14.
0.268735, 7200, 2018-03-09 19:44:03.
0.268776, 7250, 2018-03-09 19:45:52.
0.269107, 7300, 2018-03-09 19:47:37.
0.268477, 7350, 2018-03-09 19:49:27.
0.268543, 7400, 2018-03-09 19:51:14.
0.271695, 7450, 2018-03-09 19:53:04.
0.268253, 7500, 2018-03-09 19:54:54.
0.267627, 7550, 2018-03-09 19:56:46.
0.268177, 7600, 2018-03-09 19:58:35.
0.267403, 7650, 2018-03-09 20:00:24.
0.267629, 7700, 2018-03-09 20:02:11.
0.266986, 7750, 2018-03-09 20:03:59.
0.267455, 7800, 2018-03-09 20:05:45.
0.266368, 7850, 2018-03-09 20:07:36.
