Validation error, mini-batch count, D/T.
0.656008, 50, 2018-03-09 22:28:55.
0.62451, 100, 2018-03-09 22:30:50.
0.531966, 150, 2018-03-09 22:32:48.
0.476599, 200, 2018-03-09 22:34:42.
0.389925, 250, 2018-03-09 22:36:37.
0.354981, 300, 2018-03-09 22:38:30.
0.344051, 350, 2018-03-09 22:40:28.
0.290949, 400, 2018-03-09 22:42:20.
0.274637, 450, 2018-03-09 22:44:19.
0.276658, 500, 2018-03-09 22:46:10.
0.266169, 550, 2018-03-09 22:48:08.
0.279022, 600, 2018-03-09 22:50:01.
0.269734, 650, 2018-03-09 22:51:53.
0.253193, 700, 2018-03-09 22:53:49.
0.252695, 750, 2018-03-09 22:55:44.
0.244929, 800, 2018-03-09 22:57:40.
0.267938, 850, 2018-03-09 22:59:34.
0.244582, 900, 2018-03-09 23:01:30.
0.237324, 950, 2018-03-09 23:03:25.
0.233751, 1000, 2018-03-09 23:05:22.
0.234684, 1050, 2018-03-09 23:07:22.
0.232298, 1100, 2018-03-09 23:09:18.
0.225994, 1150, 2018-03-09 23:11:11.
0.216802, 1200, 2018-03-09 23:13:08.
0.2107, 1250, 2018-03-09 23:15:04.
0.211681, 1300, 2018-03-09 23:16:58.
0.219084, 1350, 2018-03-09 23:18:52.
0.20472, 1400, 2018-03-09 23:20:49.
0.20734, 1450, 2018-03-09 23:22:43.
0.197324, 1500, 2018-03-09 23:24:40.
0.199695, 1550, 2018-03-09 23:26:34.
0.197347, 1600, 2018-03-09 23:28:30.
0.191321, 1650, 2018-03-09 23:30:26.
0.197603, 1700, 2018-03-09 23:32:19.
0.190686, 1750, 2018-03-09 23:34:16.
0.193879, 1800, 2018-03-09 23:36:10.
0.185847, 1850, 2018-03-09 23:38:06.
0.187523, 1900, 2018-03-09 23:39:59.
0.18626, 1950, 2018-03-09 23:41:53.
0.18896, 2000, 2018-03-09 23:43:50.
0.184682, 2050, 2018-03-09 23:45:43.
0.182466, 2100, 2018-03-09 23:47:38.
0.183831, 2150, 2018-03-09 23:49:32.
0.193638, 2200, 2018-03-09 23:51:29.
0.267342, 2250, 2018-03-09 23:53:21.
0.194675, 2300, 2018-03-09 23:55:13.
0.187335, 2350, 2018-03-09 23:57:05.
0.184658, 2400, 2018-03-09 23:59:00.
0.179333, 2450, 2018-03-10 00:00:54.
0.175464, 2500, 2018-03-10 00:02:45.
0.177199, 2550, 2018-03-10 00:04:39.
0.178642, 2600, 2018-03-10 00:06:33.
0.182188, 2650, 2018-03-10 00:08:28.
0.182395, 2700, 2018-03-10 00:10:16.
0.181908, 2750, 2018-03-10 00:12:11.
0.173465, 2800, 2018-03-10 00:14:06.
0.172245, 2850, 2018-03-10 00:16:03.
0.171508, 2900, 2018-03-10 00:17:56.
0.171508, 2950, 2018-03-10 00:19:50.
0.170608, 3000, 2018-03-10 00:21:47.
0.169757, 3050, 2018-03-10 00:23:41.
0.168133, 3100, 2018-03-10 00:25:38.
0.165078, 3150, 2018-03-10 00:27:34.
0.170378, 3200, 2018-03-10 00:29:27.
0.165712, 3250, 2018-03-10 00:31:19.
0.166011, 3300, 2018-03-10 00:33:15.
0.166501, 3350, 2018-03-10 00:35:11.
0.168505, 3400, 2018-03-10 00:37:04.
0.163601, 3450, 2018-03-10 00:39:00.
0.166741, 3500, 2018-03-10 00:40:53.
0.167322, 3550, 2018-03-10 00:42:44.
0.160823, 3600, 2018-03-10 00:44:40.
0.167118, 3650, 2018-03-10 00:46:37.
0.162901, 3700, 2018-03-10 00:48:32.
0.166034, 3750, 2018-03-10 00:50:26.
0.163541, 3800, 2018-03-10 00:52:18.
0.158739, 3850, 2018-03-10 00:54:13.
0.1579, 3900, 2018-03-10 00:56:12.
0.163468, 3950, 2018-03-10 00:58:08.
0.159485, 4000, 2018-03-10 01:00:02.
0.159113, 4050, 2018-03-10 01:01:55.
0.171918, 4100, 2018-03-10 01:03:45.
0.171349, 4150, 2018-03-10 01:05:38.
