Validation error, mini-batch count, D/T.
0.590365, 50, 2018-03-09 10:20:46.
0.524739, 100, 2018-03-09 10:21:11.
0.52034, 150, 2018-03-09 10:21:35.
0.498219, 200, 2018-03-09 10:22:00.
0.493349, 250, 2018-03-09 10:22:25.
0.474048, 300, 2018-03-09 10:22:50.
0.466277, 350, 2018-03-09 10:23:14.
0.46392, 400, 2018-03-09 10:23:40.
0.457625, 450, 2018-03-09 10:24:05.
0.466177, 500, 2018-03-09 10:24:27.
0.4425, 550, 2018-03-09 10:24:52.
0.436606, 600, 2018-03-09 10:25:17.
0.433255, 650, 2018-03-09 10:25:41.
0.429829, 700, 2018-03-09 10:26:06.
0.426597, 750, 2018-03-09 10:26:31.
0.42531, 800, 2018-03-09 10:26:55.
0.42195, 850, 2018-03-09 10:27:20.
0.429087, 900, 2018-03-09 10:27:43.
0.420636, 950, 2018-03-09 10:28:09.
0.422423, 1000, 2018-03-09 10:28:31.
0.411744, 1050, 2018-03-09 10:28:55.
0.416952, 1100, 2018-03-09 10:29:18.
0.410466, 1150, 2018-03-09 10:29:43.
0.412065, 1200, 2018-03-09 10:30:05.
0.412029, 1250, 2018-03-09 10:30:27.
0.408638, 1300, 2018-03-09 10:30:52.
0.404398, 1350, 2018-03-09 10:31:17.
0.402984, 1400, 2018-03-09 10:31:42.
0.401567, 1450, 2018-03-09 10:32:07.
0.403827, 1500, 2018-03-09 10:32:30.
0.39599, 1550, 2018-03-09 10:32:55.
0.408208, 1600, 2018-03-09 10:33:17.
0.3961, 1650, 2018-03-09 10:33:39.
0.400262, 1700, 2018-03-09 10:34:01.
0.394874, 1750, 2018-03-09 10:34:26.
0.391499, 1800, 2018-03-09 10:34:51.
0.390698, 1850, 2018-03-09 10:35:16.
0.385643, 1900, 2018-03-09 10:35:41.
0.386105, 1950, 2018-03-09 10:36:04.
0.382789, 2000, 2018-03-09 10:36:28.
0.382427, 2050, 2018-03-09 10:36:54.
0.386939, 2100, 2018-03-09 10:37:16.
0.3843, 2150, 2018-03-09 10:37:38.
0.380885, 2200, 2018-03-09 10:38:03.
