Validation error, mini-batch count, D/T.
0.582859, 50, 2018-03-08 21:24:05.
0.555178, 100, 2018-03-08 21:24:29.
0.535976, 150, 2018-03-08 21:24:54.
0.508827, 200, 2018-03-08 21:25:19.
0.478011, 250, 2018-03-08 21:25:43.
0.503493, 300, 2018-03-08 21:26:05.
0.471865, 350, 2018-03-08 21:26:30.
0.502393, 400, 2018-03-08 21:26:52.
0.460061, 450, 2018-03-08 21:27:17.
0.436043, 500, 2018-03-08 21:27:41.
0.468783, 550, 2018-03-08 21:28:03.
0.438114, 600, 2018-03-08 21:28:26.
0.409355, 650, 2018-03-08 21:28:50.
0.402416, 700, 2018-03-08 21:29:15.
0.412864, 750, 2018-03-08 21:29:37.
0.384254, 800, 2018-03-08 21:30:02.
0.387353, 850, 2018-03-08 21:30:24.
0.392642, 900, 2018-03-08 21:30:46.
0.373072, 950, 2018-03-08 21:31:11.
0.365307, 1000, 2018-03-08 21:31:35.
0.383741, 1050, 2018-03-08 21:31:57.
0.370116, 1100, 2018-03-08 21:32:20.
0.346913, 1150, 2018-03-08 21:32:44.
0.354445, 1200, 2018-03-08 21:33:06.
0.359619, 1250, 2018-03-08 21:33:29.
0.344816, 1300, 2018-03-08 21:33:54.
0.346238, 1350, 2018-03-08 21:34:16.
0.337216, 1400, 2018-03-08 21:34:40.
0.353839, 1450, 2018-03-08 21:35:03.
0.335725, 1500, 2018-03-08 21:35:27.
0.337502, 1550, 2018-03-08 21:35:49.
0.329467, 1600, 2018-03-08 21:36:14.
0.326654, 1650, 2018-03-08 21:36:39.
0.316187, 1700, 2018-03-08 21:37:03.
0.33387, 1750, 2018-03-08 21:37:25.
0.318638, 1800, 2018-03-08 21:37:48.
0.316067, 1850, 2018-03-08 21:38:12.
0.313683, 1900, 2018-03-08 21:38:37.
0.308867, 1950, 2018-03-08 21:39:02.
0.317008, 2000, 2018-03-08 21:39:24.
0.314926, 2050, 2018-03-08 21:39:46.
0.327129, 2100, 2018-03-08 21:40:08.
0.308425, 2150, 2018-03-08 21:40:33.
0.325055, 2200, 2018-03-08 21:40:55.
0.302606, 2250, 2018-03-08 21:41:20.
0.305322, 2300, 2018-03-08 21:41:42.
0.299948, 2350, 2018-03-08 21:42:07.
0.30017, 2400, 2018-03-08 21:42:29.
0.29953, 2450, 2018-03-08 21:42:53.
0.322316, 2500, 2018-03-08 21:43:16.
0.299545, 2550, 2018-03-08 21:43:38.
0.291682, 2600, 2018-03-08 21:44:03.
0.313414, 2650, 2018-03-08 21:44:25.
0.305566, 2700, 2018-03-08 21:44:47.
0.286396, 2750, 2018-03-08 21:45:12.
0.309424, 2800, 2018-03-08 21:45:34.
0.290884, 2850, 2018-03-08 21:45:56.
0.291099, 2900, 2018-03-08 21:46:18.
0.286309, 2950, 2018-03-08 21:46:43.
0.290897, 3000, 2018-03-08 21:47:05.
0.291136, 3050, 2018-03-08 21:47:27.
0.284198, 3100, 2018-03-08 21:47:52.
0.28356, 3150, 2018-03-08 21:48:17.
0.285984, 3200, 2018-03-08 21:48:39.
0.281628, 3250, 2018-03-08 21:49:04.
0.286721, 3300, 2018-03-08 21:49:26.
0.278922, 3350, 2018-03-08 21:49:51.
0.282641, 3400, 2018-03-08 21:50:13.
0.284739, 3450, 2018-03-08 21:50:35.
0.274675, 3500, 2018-03-08 21:51:00.
0.283666, 3550, 2018-03-08 21:51:22.
0.274892, 3600, 2018-03-08 21:51:44.
0.285155, 3650, 2018-03-08 21:52:06.
0.287091, 3700, 2018-03-08 21:52:28.
0.288926, 3750, 2018-03-08 21:52:51.
0.27958, 3800, 2018-03-08 21:53:13.
0.276463, 3850, 2018-03-08 21:53:35.
0.270109, 3900, 2018-03-08 21:53:59.
0.274647, 3950, 2018-03-08 21:54:21.
0.290431, 4000, 2018-03-08 21:54:44.
0.276419, 4050, 2018-03-08 21:55:06.
0.270504, 4100, 2018-03-08 21:55:28.
0.282458, 4150, 2018-03-08 21:55:50.
0.275693, 4200, 2018-03-08 21:56:12.
0.280056, 4250, 2018-03-08 21:56:35.
0.274014, 4300, 2018-03-08 21:56:57.
0.269914, 4350, 2018-03-08 21:57:21.
0.270632, 4400, 2018-03-08 21:57:43.
0.27028, 4450, 2018-03-08 21:58:06.
0.266991, 4500, 2018-03-08 21:58:30.
0.273485, 4550, 2018-03-08 21:58:52.
0.269834, 4600, 2018-03-08 21:59:15.
0.271692, 4650, 2018-03-08 21:59:37.
0.270202, 4700, 2018-03-08 21:59:59.
0.272672, 4750, 2018-03-08 22:00:21.
0.277404, 4800, 2018-03-08 22:00:44.
0.26727, 4850, 2018-03-08 22:01:06.
0.275602, 4900, 2018-03-08 22:01:28.
0.269554, 4950, 2018-03-08 22:01:50.
0.266574, 5000, 2018-03-08 22:02:15.
0.273188, 5050, 2018-03-08 22:02:37.
0.27019, 5100, 2018-03-08 22:02:59.
0.268225, 5150, 2018-03-08 22:03:22.
0.273643, 5200, 2018-03-08 22:03:44.
0.269256, 5250, 2018-03-08 22:04:06.
0.265813, 5300, 2018-03-08 22:04:30.
0.268765, 5350, 2018-03-08 22:04:53.
0.263352, 5400, 2018-03-08 22:05:17.
0.265811, 5450, 2018-03-08 22:05:39.
0.267494, 5500, 2018-03-08 22:06:02.
0.264444, 5550, 2018-03-08 22:06:24.
0.267771, 5600, 2018-03-08 22:06:46.
0.266044, 5650, 2018-03-08 22:07:08.
0.272811, 5700, 2018-03-08 22:07:31.
0.265632, 5750, 2018-03-08 22:07:53.
0.273726, 5800, 2018-03-08 22:08:15.
0.263528, 5850, 2018-03-08 22:08:37.
0.26906, 5900, 2018-03-08 22:08:59.
0.261602, 5950, 2018-03-08 22:09:24.
0.258219, 6000, 2018-03-08 22:09:49.
0.262847, 6050, 2018-03-08 22:10:11.
0.272653, 6100, 2018-03-08 22:10:33.
0.271841, 6150, 2018-03-08 22:10:56.
0.255633, 6200, 2018-03-08 22:11:21.
0.259641, 6250, 2018-03-08 22:11:43.
0.265593, 6300, 2018-03-08 22:12:05.
0.261769, 6350, 2018-03-08 22:12:28.
0.268872, 6400, 2018-03-08 22:12:50.
0.260071, 6450, 2018-03-08 22:13:12.
0.267508, 6500, 2018-03-08 22:13:34.
0.265428, 6550, 2018-03-08 22:13:57.
0.260358, 6600, 2018-03-08 22:14:19.
0.265602, 6650, 2018-03-08 22:14:41.
0.26141, 6700, 2018-03-08 22:15:03.
0.260769, 6750, 2018-03-08 22:15:26.
0.264789, 6800, 2018-03-08 22:15:48.
0.257178, 6850, 2018-03-08 22:16:10.
0.255416, 6900, 2018-03-08 22:16:35.
0.259904, 6950, 2018-03-08 22:16:57.
0.260991, 7000, 2018-03-08 22:17:19.
0.255865, 7050, 2018-03-08 22:17:42.
0.254686, 7100, 2018-03-08 22:18:06.
0.254789, 7150, 2018-03-08 22:18:29.
0.255181, 7200, 2018-03-08 22:18:51.
0.251904, 7250, 2018-03-08 22:19:16.
0.258237, 7300, 2018-03-08 22:19:38.
0.257471, 7350, 2018-03-08 22:20:00.
0.252652, 7400, 2018-03-08 22:20:22.
0.254012, 7450, 2018-03-08 22:20:45.
0.25809, 7500, 2018-03-08 22:21:07.
0.249702, 7550, 2018-03-08 22:21:31.
0.260765, 7600, 2018-03-08 22:21:53.
0.251522, 7650, 2018-03-08 22:22:15.
0.252193, 7700, 2018-03-08 22:22:38.
0.257327, 7750, 2018-03-08 22:23:00.
0.256812, 7800, 2018-03-08 22:23:22.
0.264203, 7850, 2018-03-08 22:23:44.
0.251024, 7900, 2018-03-08 22:24:06.
0.253271, 7950, 2018-03-08 22:24:28.
0.253462, 8000, 2018-03-08 22:24:51.
0.256904, 8050, 2018-03-08 22:25:13.
0.25653, 8100, 2018-03-08 22:25:35.
0.25243, 8150, 2018-03-08 22:25:57.
0.252939, 8200, 2018-03-08 22:26:19.
0.259772, 8250, 2018-03-08 22:26:42.
0.273547, 8300, 2018-03-08 22:27:04.
0.260869, 8350, 2018-03-08 22:27:26.
0.256943, 8400, 2018-03-08 22:27:48.
0.248737, 8450, 2018-03-08 22:28:13.
0.251418, 8500, 2018-03-08 22:28:35.
0.260972, 8550, 2018-03-08 22:28:57.
0.254963, 8600, 2018-03-08 22:29:19.
0.25512, 8650, 2018-03-08 22:29:41.
0.252854, 8700, 2018-03-08 22:30:03.
0.253414, 8750, 2018-03-08 22:30:26.
0.253737, 8800, 2018-03-08 22:30:48.
0.253478, 8850, 2018-03-08 22:31:10.
0.255683, 8900, 2018-03-08 22:31:32.
0.255444, 8950, 2018-03-08 22:31:54.
0.253068, 9000, 2018-03-08 22:32:16.
0.255135, 9050, 2018-03-08 22:32:38.
0.254005, 9100, 2018-03-08 22:33:01.
0.266859, 9150, 2018-03-08 22:33:23.
0.25215, 9200, 2018-03-08 22:33:45.
0.261531, 9250, 2018-03-08 22:34:07.
0.253518, 9300, 2018-03-08 22:34:29.
0.256544, 9350, 2018-03-08 22:34:51.
0.248819, 9400, 2018-03-08 22:35:13.
0.251251, 9450, 2018-03-08 22:35:35.
0.25481, 9500, 2018-03-08 22:35:57.
0.254146, 9550, 2018-03-08 22:36:20.
0.249392, 9600, 2018-03-08 22:36:42.
0.250416, 9650, 2018-03-08 22:37:04.
0.25139, 9700, 2018-03-08 22:37:26.
0.249589, 9750, 2018-03-08 22:37:48.
0.251128, 9800, 2018-03-08 22:38:10.
0.25229, 9850, 2018-03-08 22:38:32.
0.247158, 9900, 2018-03-08 22:38:57.
0.25917, 9950, 2018-03-08 22:39:19.
0.248374, 10000, 2018-03-08 22:39:41.
0.251455, 10050, 2018-03-08 22:40:04.
0.247896, 10100, 2018-03-08 22:40:26.
0.248987, 10150, 2018-03-08 22:40:48.
0.249611, 10200, 2018-03-08 22:41:10.
0.249877, 10250, 2018-03-08 22:41:32.
0.260108, 10300, 2018-03-08 22:41:55.
0.249274, 10350, 2018-03-08 22:42:17.
