pred: fhes0, true: fadg0, file: sa1, noise: SIGNAL020.wav, level: 0 dB.
pred: fadg0, true: fadg0, file: sa2, noise: SIGNAL004.wav, level: 0 dB.
pred: fcdr1, true: faem0, file: sa1, noise: SIGNAL015.wav, level: 0 dB.
pred: fnkl0, true: faem0, file: sa2, noise: SIGNAL008.wav, level: 0 dB.
pred: fecd0, true: fajw0, file: sa1, noise: SIGNAL004.wav, level: 0 dB.
pred: fsjs0, true: fajw0, file: sa2, noise: SIGNAL018.wav, level: 0 dB.
pred: faks0, true: faks0, file: sa1, noise: SIGNAL017.wav, level: 0 dB.
pred: faks0, true: faks0, file: sa2, noise: SIGNAL012.wav, level: 0 dB.
pred: falk0, true: falk0, file: sa1, noise: SIGNAL005.wav, level: 0 dB.
pred: falk0, true: falk0, file: sa2, noise: SIGNAL019.wav, level: 0 dB.
pred: fbjl0, true: falr0, file: sa1, noise: SIGNAL005.wav, level: 0 dB.
pred: fbjl0, true: falr0, file: sa2, noise: SIGNAL019.wav, level: 0 dB.
pred: faem0, true: fapb0, file: sa1, noise: SIGNAL012.wav, level: 0 dB.
pred: fsxa0, true: fapb0, file: sa2, noise: SIGNAL012.wav, level: 0 dB.
pred: fasw0, true: fasw0, file: sa1, noise: SIGNAL018.wav, level: 0 dB.
pred: fasw0, true: fasw0, file: sa2, noise: SIGNAL007.wav, level: 0 dB.
pred: fdms0, true: fawf0, file: sa1, noise: SIGNAL015.wav, level: 0 dB.
pred: fcjf0, true: fawf0, file: sa2, noise: SIGNAL018.wav, level: 0 dB.
pred: fbas0, true: fbas0, file: sa1, noise: SIGNAL018.wav, level: 0 dB.
pred: fbas0, true: fbas0, file: sa2, noise: SIGNAL003.wav, level: 0 dB.
pred: flhd0, true: fbcg1, file: sa1, noise: SIGNAL011.wav, level: 0 dB.
pred: fhes0, true: fbcg1, file: sa2, noise: SIGNAL004.wav, level: 0 dB.
pred: fpaz0, true: fbch0, file: sa1, noise: SIGNAL017.wav, level: 0 dB.
pred: fbch0, true: fbch0, file: sa2, noise: SIGNAL005.wav, level: 0 dB.
pred: fgcs0, true: fbjl0, file: sa1, noise: SIGNAL002.wav, level: 0 dB.
pred: fjxp0, true: fbjl0, file: sa2, noise: SIGNAL004.wav, level: 0 dB.
pred: fblv0, true: fblv0, file: sa1, noise: SIGNAL009.wav, level: 0 dB.
pred: fblv0, true: fblv0, file: sa2, noise: SIGNAL018.wav, level: 0 dB.
pred: fbmh0, true: fbmh0, file: sa1, noise: SIGNAL022.wav, level: 0 dB.
pred: fbmh0, true: fbmh0, file: sa2, noise: SIGNAL003.wav, level: 0 dB.
pred: fbmj0, true: fbmj0, file: sa1, noise: SIGNAL016.wav, level: 0 dB.
pred: fbmj0, true: fbmj0, file: sa2, noise: SIGNAL017.wav, level: 0 dB.
pred: fcag0, true: fcag0, file: sa1, noise: SIGNAL007.wav, level: 0 dB.
pred: fcag0, true: fcag0, file: sa2, noise: SIGNAL001.wav, level: 0 dB.
pred: fljd0, true: fcaj0, file: sa1, noise: SIGNAL011.wav, level: 0 dB.
pred: fcaj0, true: fcaj0, file: sa2, noise: SIGNAL023.wav, level: 0 dB.
pred: fclt0, true: fcal1, file: sa1, noise: SIGNAL017.wav, level: 0 dB.
pred: fspm0, true: fcal1, file: sa2, noise: SIGNAL013.wav, level: 0 dB.
pred: fcau0, true: fcau0, file: sa1, noise: SIGNAL009.wav, level: 0 dB.
pred: fcau0, true: fcau0, file: sa2, noise: SIGNAL009.wav, level: 0 dB.
pred: fcdr1, true: fcdr1, file: sa1, noise: SIGNAL019.wav, level: 0 dB.
pred: fcdr1, true: fcdr1, file: sa2, noise: SIGNAL024.wav, level: 0 dB.
pred: fceg0, true: fceg0, file: sa1, noise: SIGNAL007.wav, level: 0 dB.
pred: fceg0, true: fceg0, file: sa2, noise: SIGNAL022.wav, level: 0 dB.
pred: fhes0, true: fcft0, file: sa1, noise: SIGNAL017.wav, level: 0 dB.
pred: fcft0, true: fcft0, file: sa2, noise: SIGNAL014.wav, level: 0 dB.
pred: fcjf0, true: fcjf0, file: sa1, noise: SIGNAL007.wav, level: 0 dB.
pred: fjxp0, true: fcjf0, file: sa2, noise: SIGNAL019.wav, level: 0 dB.
pred: fnmr0, true: fcjs0, file: sa1, noise: SIGNAL014.wav, level: 0 dB.
pred: fsjs0, true: fcjs0, file: sa2, noise: SIGNAL017.wav, level: 0 dB.
pred: fcke0, true: fcke0, file: sa1, noise: SIGNAL019.wav, level: 0 dB.
pred: fmcm0, true: fcke0, file: sa2, noise: SIGNAL002.wav, level: 0 dB.
pred: fclt0, true: fclt0, file: sa1, noise: SIGNAL017.wav, level: 0 dB.
pred: fclt0, true: fclt0, file: sa2, noise: SIGNAL023.wav, level: 0 dB.
pred: fcmg0, true: fcmg0, file: sa1, noise: SIGNAL016.wav, level: 0 dB.
