pred: fbmj0, true: fadg0, file: sa1, noise: SIGNAL020.wav, level: 0 dB.
pred: mctw0, true: fadg0, file: sa2, noise: SIGNAL004.wav, level: 0 dB.
pred: mrml0, true: faem0, file: sa1, noise: SIGNAL015.wav, level: 0 dB.
pred: mmeb0, true: faem0, file: sa2, noise: SIGNAL008.wav, level: 0 dB.
pred: mctw0, true: fajw0, file: sa1, noise: SIGNAL004.wav, level: 0 dB.
pred: mlih0, true: fajw0, file: sa2, noise: SIGNAL018.wav, level: 0 dB.
pred: fclt0, true: faks0, file: sa1, noise: SIGNAL017.wav, level: 0 dB.
pred: fsag0, true: faks0, file: sa2, noise: SIGNAL012.wav, level: 0 dB.
pred: futb0, true: falk0, file: sa1, noise: SIGNAL005.wav, level: 0 dB.
pred: mjrh0, true: falk0, file: sa2, noise: SIGNAL019.wav, level: 0 dB.
pred: fjrp1, true: falr0, file: sa1, noise: SIGNAL005.wav, level: 0 dB.
pred: majp0, true: falr0, file: sa2, noise: SIGNAL019.wav, level: 0 dB.
pred: fsag0, true: fapb0, file: sa1, noise: SIGNAL012.wav, level: 0 dB.
pred: fsag0, true: fapb0, file: sa2, noise: SIGNAL012.wav, level: 0 dB.
pred: mpab0, true: fasw0, file: sa1, noise: SIGNAL018.wav, level: 0 dB.
pred: mpmb0, true: fasw0, file: sa2, noise: SIGNAL007.wav, level: 0 dB.
pred: mrml0, true: fawf0, file: sa1, noise: SIGNAL015.wav, level: 0 dB.
pred: fjrp1, true: fawf0, file: sa2, noise: SIGNAL018.wav, level: 0 dB.
pred: majp0, true: fbas0, file: sa1, noise: SIGNAL018.wav, level: 0 dB.
pred: frew0, true: fbas0, file: sa2, noise: SIGNAL003.wav, level: 0 dB.
pred: fjem0, true: fbcg1, file: sa1, noise: SIGNAL011.wav, level: 0 dB.
pred: mctw0, true: fbcg1, file: sa2, noise: SIGNAL004.wav, level: 0 dB.
pred: fclt0, true: fbch0, file: sa1, noise: SIGNAL017.wav, level: 0 dB.
pred: flag0, true: fbch0, file: sa2, noise: SIGNAL005.wav, level: 0 dB.
pred: mctw0, true: fbjl0, file: sa1, noise: SIGNAL002.wav, level: 0 dB.
pred: mctw0, true: fbjl0, file: sa2, noise: SIGNAL004.wav, level: 0 dB.
pred: fjrp1, true: fblv0, file: sa1, noise: SIGNAL009.wav, level: 0 dB.
pred: fjrp1, true: fblv0, file: sa2, noise: SIGNAL018.wav, level: 0 dB.
pred: fjsk0, true: fbmh0, file: sa1, noise: SIGNAL022.wav, level: 0 dB.
pred: frew0, true: fbmh0, file: sa2, noise: SIGNAL003.wav, level: 0 dB.
pred: fbmj0, true: fbmj0, file: sa1, noise: SIGNAL016.wav, level: 0 dB.
pred: fbmj0, true: fbmj0, file: sa2, noise: SIGNAL017.wav, level: 0 dB.
pred: mgxp0, true: fcag0, file: sa1, noise: SIGNAL007.wav, level: 0 dB.
pred: fleh0, true: fcag0, file: sa2, noise: SIGNAL001.wav, level: 0 dB.
pred: fpac0, true: fcaj0, file: sa1, noise: SIGNAL011.wav, level: 0 dB.
pred: fbjl0, true: fcaj0, file: sa2, noise: SIGNAL023.wav, level: 0 dB.
pred: fclt0, true: fcal1, file: sa1, noise: SIGNAL017.wav, level: 0 dB.
pred: flkm0, true: fcal1, file: sa2, noise: SIGNAL013.wav, level: 0 dB.
pred: mmwb0, true: fcau0, file: sa1, noise: SIGNAL009.wav, level: 0 dB.
pred: fjrp1, true: fcau0, file: sa2, noise: SIGNAL009.wav, level: 0 dB.
pred: mtbc0, true: fcdr1, file: sa1, noise: SIGNAL019.wav, level: 0 dB.
pred: fcdr1, true: fcdr1, file: sa2, noise: SIGNAL024.wav, level: 0 dB.
pred: fpab1, true: fceg0, file: sa1, noise: SIGNAL007.wav, level: 0 dB.
pred: fjen0, true: fceg0, file: sa2, noise: SIGNAL022.wav, level: 0 dB.
pred: fjsk0, true: fcft0, file: sa1, noise: SIGNAL017.wav, level: 0 dB.
pred: fjsp0, true: fcft0, file: sa2, noise: SIGNAL014.wav, level: 0 dB.
pred: fmaf0, true: fcjf0, file: sa1, noise: SIGNAL007.wav, level: 0 dB.
pred: mpab0, true: fcjf0, file: sa2, noise: SIGNAL019.wav, level: 0 dB.
pred: fsrh0, true: fcjs0, file: sa1, noise: SIGNAL014.wav, level: 0 dB.
pred: fvmh0, true: fcjs0, file: sa2, noise: SIGNAL017.wav, level: 0 dB.
pred: mrtc0, true: fcke0, file: sa1, noise: SIGNAL019.wav, level: 0 dB.
pred: mctw0, true: fcke0, file: sa2, noise: SIGNAL002.wav, level: 0 dB.
pred: fclt0, true: fclt0, file: sa1, noise: SIGNAL017.wav, level: 0 dB.
pred: fbjl0, true: fclt0, file: sa2, noise: SIGNAL023.wav, level: 0 dB.
pred: fcmg0, true: fcmg0, file: sa1, noise: SIGNAL016.wav, level: 0 dB.
pred: fjdm2, true: fcmg0, file: sa2, noise: SIGNAL010.wav, level: 0 dB.
pred: flkm0, true: fcmh0, file: sa1, noise: SIGNAL021.wav, level: 0 dB.
pred: majp0, true: fcmh0, file: sa2, noise: SIGNAL006.wav, level: 0 dB.
pred: fcmh1, true: fcmh1, file: sa1, noise: SIGNAL003.wav, level: 0 dB.
pred: mrml0, true: fcmh1, file: sa2, noise: SIGNAL015.wav, level: 0 dB.
pred: fsah0, true: fcmm0, file: sa1, noise: SIGNAL006.wav, level: 0 dB.
pred: mmeb0, true: fcmm0, file: sa2, noise: SIGNAL008.wav, level: 0 dB.
pred: flag0, true: fcmr0, file: sa1, noise: SIGNAL020.wav, level: 0 dB.
pred: fkfb0, true: fcmr0, file: sa2, noise: SIGNAL007.wav, level: 0 dB.
pred: fjdm2, true: fcrh0, file: sa1, noise: SIGNAL024.wav, level: 0 dB.
pred: fasw0, true: fcrh0, file: sa2, noise: SIGNAL018.wav, level: 0 dB.
pred: mrml0, true: fcrz0, file: sa1, noise: SIGNAL015.wav, level: 0 dB.
pred: majp0, true: fcrz0, file: sa2, noise: SIGNAL018.wav, level: 0 dB.
pred: fpac0, true: fcyl0, file: sa1, noise: SIGNAL011.wav, level: 0 dB.
pred: fkfb0, true: fcyl0, file: sa2, noise: SIGNAL007.wav, level: 0 dB.
pred: mpmb0, true: fdac1, file: sa1, noise: SIGNAL014.wav, level: 0 dB.
pred: fpac0, true: fdac1, file: sa2, noise: SIGNAL011.wav, level: 0 dB.
pred: mpmb0, true: fdas1, file: sa1, noise: SIGNAL007.wav, level: 0 dB.
pred: mpmb0, true: fdas1, file: sa2, noise: SIGNAL007.wav, level: 0 dB.
pred: fpac0, true: fdaw0, file: sa1, noise: SIGNAL011.wav, level: 0 dB.
pred: mcmb0, true: fdaw0, file: sa2, noise: SIGNAL021.wav, level: 0 dB.
pred: flet0, true: fdfb0, file: sa1, noise: SIGNAL021.wav, level: 0 dB.
pred: fbjl0, true: fdfb0, file: sa2, noise: SIGNAL023.wav, level: 0 dB.
pred: fbjl0, true: fdhc0, file: sa1, noise: SIGNAL024.wav, level: 0 dB.
pred: mctw0, true: fdhc0, file: sa2, noise: SIGNAL002.wav, level: 0 dB.
pred: fsag0, true: fdjh0, file: sa1, noise: SIGNAL012.wav, level: 0 dB.
pred: mter0, true: fdjh0, file: sa2, noise: SIGNAL003.wav, level: 0 dB.
pred: mctw0, true: fdkn0, file: sa1, noise: SIGNAL004.wav, level: 0 dB.
pred: mbar0, true: fdkn0, file: sa2, noise: SIGNAL010.wav, level: 0 dB.
pred: mctw0, true: fdml0, file: sa1, noise: SIGNAL004.wav, level: 0 dB.
pred: mpmb0, true: fdml0, file: sa2, noise: SIGNAL007.wav, level: 0 dB.
pred: fjsk0, true: fdms0, file: sa1, noise: SIGNAL022.wav, level: 0 dB.
pred: fkfb0, true: fdms0, file: sa2, noise: SIGNAL007.wav, level: 0 dB.
pred: fceg0, true: fdmy0, file: sa1, noise: SIGNAL005.wav, level: 0 dB.
pred: majp0, true: fdmy0, file: sa2, noise: SIGNAL018.wav, level: 0 dB.
pred: fkfb0, true: fdnc0, file: sa1, noise: SIGNAL007.wav, level: 0 dB.
pred: fbjl0, true: fdnc0, file: sa2, noise: SIGNAL024.wav, level: 0 dB.
pred: fjsk0, true: fdrd1, file: sa1, noise: SIGNAL022.wav, level: 0 dB.
pred: fsah0, true: fdrd1, file: sa2, noise: SIGNAL006.wav, level: 0 dB.
pred: fvfb0, true: fdrw0, file: sa1, noise: SIGNAL023.wav, level: 0 dB.
pred: fsag0, true: fdrw0, file: sa2, noise: SIGNAL012.wav, level: 0 dB.
pred: mbar0, true: fdtd0, file: sa1, noise: SIGNAL010.wav, level: 0 dB.
pred: fjdm2, true: fdtd0, file: sa2, noise: SIGNAL022.wav, level: 0 dB.
pred: mrcg0, true: fdxw0, file: sa1, noise: SIGNAL001.wav, level: 0 dB.
pred: fdxw0, true: fdxw0, file: sa2, noise: SIGNAL022.wav, level: 0 dB.
pred: frew0, true: feac0, file: sa1, noise: SIGNAL003.wav, level: 0 dB.
pred: fslb1, true: feac0, file: sa2, noise: SIGNAL021.wav, level: 0 dB.
pred: fear0, true: fear0, file: sa1, noise: SIGNAL016.wav, level: 0 dB.
pred: mpmb0, true: fear0, file: sa2, noise: SIGNAL013.wav, level: 0 dB.
pred: fjdm2, true: fecd0, file: sa1, noise: SIGNAL024.wav, level: 0 dB.
pred: fjrp1, true: fecd0, file: sa2, noise: SIGNAL005.wav, level: 0 dB.
pred: mctw0, true: fedw0, file: sa1, noise: SIGNAL004.wav, level: 0 dB.
pred: fjrp1, true: fedw0, file: sa2, noise: SIGNAL013.wav, level: 0 dB.
pred: mpmb0, true: feeh0, file: sa1, noise: SIGNAL005.wav, level: 0 dB.
pred: fkkh0, true: feeh0, file: sa2, noise: SIGNAL021.wav, level: 0 dB.
pred: mtbc0, true: felc0, file: sa1, noise: SIGNAL006.wav, level: 0 dB.
pred: felc0, true: felc0, file: sa2, noise: SIGNAL001.wav, level: 0 dB.
